Year_in_school,Gender,Avg_Income,Avg_Aid,Avg_Spending,Avg_Surplus_Deficit
Junior,Male,961.37,513.65,6536.05,-5061.02
Senior,Non-binary,1085.60,447.16,6395.73,-4862.97
Sophomore,Male,1009.73,514.48,6378.98,-4854.77
Junior,Non-binary,1005.37,520.87,6351.78,-4825.54
Freshman,Female,1062.63,511.50,6373.40,-4799.27
Sophomore,Female,1007.89,469.28,6254.25,-4777.08
Freshman,Non-binary,1055.05,501.73,6321.89,-4765.12
Sophomore,Non-binary,976.51,487.17,6226.22,-4762.55
Senior,Female,989.40,508.61,6244.01,-4746.00
Freshman,Male,1054.25,500.53,6270.85,-4716.07
Junior,Female,1039.80,521.86,6247.75,-4686.10
Senior,Male,1002.41,547.56,6196.38,-4646.41
